id,timestamp,user_id,request_text,true_category,true_scenario,token_count,response_time_sec,satisfaction_score
a885efa5,2024-01-01T01:50:00,user_025,"Создай задачу в Jira для исправления бага в платёжной системе 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе Создай задачу в Jira для исправления бага в платёжной системе",Работа с документами,Работа с Jira/Confluence,117598,22.54,5
67015bbf,2024-01-01T11:19:00,user_032,"Напиши скрипт холодного звонка для нового продукта 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — подробно.

Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта Напиши скрипт холодного звонка для нового продукта",Работа с клиентами,Продажи и переговоры,74777,43.96,5
aa5f9fed,2024-01-01T17:50:00,user_019,"Создай рекламный слоган для нового сервиса 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Создай рекламный слоган для нового сервиса Создай рекламный слоган для нового сервиса Создай рекламный слоган для нового сервиса",Генерация текста,Создание маркетинговых текстов,107914,31.22,4
d80a088a,2024-01-01T23:45:00,user_009,"Напиши инструкцию для клиента по настройке интеграции 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции",Работа с клиентами,Поддержка клиентов,90503,26.63,4
ec6056aa,2024-01-02T02:11:00,user_014,"Проанализируй данные о продажах за последний квартал 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал Проанализируй данные о продажах за последний квартал",Анализ данных,Сбор аналитики,128812,21.74,
a346c377,2024-01-03T04:50:00,user_048,"Напиши краткий отчёт о проделанной работе за неделю 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши краткий отчёт о проделанной работе за неделю Напиши краткий отчёт о проделанной работе за неделю Напиши краткий отчёт о проделанной работе за неделю",Генерация текста,Генерация отчётов и резюме,123270,19.0,1
46a45040,2024-01-04T14:22:00,user_048,"Исправь race condition в многопоточном коде 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Исправь race condition в многопоточном коде Исправь race condition в многопоточном коде Исправь race condition в многопоточном коде",Написание кода,Анализ и оптимизация кода,70453,12.98,4
c480dc1e,2024-01-04T16:33:00,user_042,"Оцени риски перехода на новую технологию 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Оцени риски перехода на новую технологию Оцени риски перехода на новую технологию Оцени риски перехода на новую технологию Оцени риски перехода на новую технологию Оцени риски перехода на новую технологию",Обучение и онбординг,Стратегические вопросы,53137,41.63,3
10ae0bc1,2024-01-05T04:51:00,user_013,"Проверь входящие и составь краткую сводку важных писем 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — подробно.

Проверь входящие и составь краткую сводку важных писем Проверь входящие и составь краткую сводку важных писем Проверь входящие и составь краткую сводку важных писем",Работа с документами,Мониторинг почты,142279,21.16,3
1798300d,2024-01-05T08:45:00,user_034,"Что такое Kubernetes и когда его использовать? 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Что такое Kubernetes и когда его использовать? Что такое Kubernetes и когда его использовать? Что такое Kubernetes и когда его использовать? Что такое Kubernetes и когда его использовать? Что такое Kubernetes и когда его использовать? Что такое Kubernetes и когда его использовать?",Обучение и онбординг,Технические вопросы,111370,40.94,2
b7598537,2024-01-05T11:50:00,user_019,"Создай CI/CD пайплайн для автоматического деплоя 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Создай CI/CD пайплайн для автоматического деплоя Создай CI/CD пайплайн для автоматического деплоя Создай CI/CD пайплайн для автоматического деплоя",Написание кода,Разработка веб-приложений,53415,17.19,5
